Date,High,Low,Open,Close,Volume,Adj Close,ticker
2014-09-17,328.0,321.519989,327.76000980000003,324.0,4136000,324.0,AMZN
2014-09-18,327.10000610000003,323.7099915,325.44000239999997,325.0,2576900,325.0,AMZN
2014-09-19,332.76000980000003,325.57000730000004,327.60000610000003,331.32000730000004,6886200,331.32000730000004,AMZN
2014-09-22,329.48999019999997,321.05999760000003,328.48999019999997,324.5,3109700,324.5,AMZN
2014-09-23,327.60000610000003,321.25,322.4599915,323.63000489999996,2352600,323.63000489999996,AMZN
2014-09-24,329.44000239999997,319.55999760000003,324.17001339999996,328.2099915,2642200,328.2099915,AMZN
2014-09-25,328.5400085,321.39999389999997,327.98999019999997,321.92999269999996,2928800,321.92999269999996,AMZN
2014-09-26,323.5,317.64001460000003,320.60000610000003,323.2099915,3638000,323.2099915,AMZN
2014-09-29,323.75,319.0,320.5,321.82000730000004,1924600,321.82000730000004,AMZN
2014-09-30,323.42999269999996,318.51000980000003,321.35998539999997,322.44000239999997,2636200,322.44000239999997,AMZN
2014-10-01,322.17001339999996,315.5499878,322.0400085,317.4599915,3089100,317.4599915,AMZN
2014-10-02,318.5299988,311.30999760000003,316.92001339999996,318.4100037,3553900,318.4100037,AMZN
2014-10-03,325.1600037,319.5299988,320.35998539999997,322.73999019999997,3037400,322.73999019999997,AMZN
2014-10-06,324.13000489999996,319.60000610000003,323.5,322.2000122,2290300,322.2000122,AMZN
2014-10-07,322.0,316.67001339999996,319.42999269999996,316.980011,2365400,316.980011,AMZN
2014-10-08,324.10998539999997,314.14001460000003,316.57998660000004,322.7000122,3452800,322.7000122,AMZN
2014-10-09,322.269989,314.519989,321.48999019999997,315.36999510000004,3587900,315.36999510000004,AMZN
2014-10-10,317.769989,311.38000489999996,314.019989,311.39001460000003,3681900,311.39001460000003,AMZN
2014-10-13,313.2000122,303.4700012,309.86999510000004,306.4500122,4363900,306.4500122,AMZN
2014-10-14,312.23999019999997,305.75,308.0,308.30999760000003,3385800,308.30999760000003,AMZN
2014-10-15,307.89999389999997,299.10000610000003,304.35000610000003,305.9700012,5343900,305.9700012,AMZN
2014-10-16,306.82000730000004,293.82998660000004,293.82998660000004,302.85998539999997,4731300,302.85998539999997,AMZN
2014-10-17,309.2000122,302.7200012,307.14999389999997,303.64001460000003,4405100,303.64001460000003,AMZN
2014-10-20,306.5299988,302.019989,302.9500122,306.2099915,3234500,306.2099915,AMZN
2014-10-21,315.64001460000003,307.07000730000004,309.89999389999997,315.32998660000004,3559300,315.32998660000004,AMZN
2014-10-22,318.980011,312.64001460000003,315.42999269999996,312.9700012,3125900,312.9700012,AMZN
2014-10-23,316.7999878,311.39999389999997,313.39999389999997,313.17999269999996,9038200,313.17999269999996,AMZN
2014-10-24,293.80999760000003,284.0,284.39999389999997,287.05999760000003,19801100,287.05999760000003,AMZN
2014-10-27,290.42001339999996,285.019989,285.7000122,289.9700012,5950600,289.9700012,AMZN
2014-10-28,298.0,289.76000980000003,289.76000980000003,295.5899963,5572600,295.5899963,AMZN
2014-10-29,299.60998539999997,293.07000730000004,299.10998539999997,294.11999510000004,4881900,294.11999510000004,AMZN
2014-10-30,299.73999019999997,292.35998539999997,293.980011,299.07000730000004,4055200,299.07000730000004,AMZN
2014-10-31,305.7200012,301.5,305.14999389999997,305.4599915,4550700,305.4599915,AMZN
2014-11-03,308.01000980000003,303.23999019999997,306.23999019999997,305.7200012,3242500,305.7200012,AMZN
2014-11-04,304.25,300.17001339999996,303.98999019999997,302.80999760000003,3427400,302.80999760000003,AMZN
2014-11-05,304.0,294.1600037,303.01000980000003,296.519989,4674500,296.519989,AMZN
2014-11-06,297.0,292.2900085,296.69000239999997,296.64001460000003,3758100,296.64001460000003,AMZN
2014-11-07,299.98999019999997,296.2900085,297.82000730000004,299.85998539999997,2647400,299.85998539999997,AMZN
2014-11-10,305.7999878,300.0,300.0,305.10998539999997,2809100,305.10998539999997,AMZN
2014-11-11,312.38000489999996,303.64999389999997,305.94000239999997,312.01000980000003,3803600,312.01000980000003,AMZN
